"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Kingdom Hearts HD 1.5 + 2.5 ReMIX|Kingdom_Hearts_HD_I.5_plus_II.5_Remix|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20+%202.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","27165","14877210","531","1081","993","2.193263","163893","361.994478"
"2","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","24690","15590715","611","2007","838","2.036452","165251","401.582017"
"3","Super Mario Odyssey|Super_Mario_Switch_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8235","5130480","589","1564","413","3.009107","54166","394.652094"
"4","Final Fantasy IX|Final_Fantasy_IX|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20IX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5565","3234960","571","983","345","3.719676","34280","369.595687"
"5","Persona 5|Persona_5|https://static-cdn.jtvnw.net/ttv-boxart/Persona%205-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5280","2823210","548","1705","216","2.454545","28094","319.25"
"6","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3255","2764170","737","2755","162","2.986175","28421","523.8894"
"7","Super Mario Sunshine|Super_Mario_Sunshine|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Sunshine-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2850","1910955","712","1397","95","2","17541","369.28421"
"8","The Legend of Dragoon|The_Legend_of_Dragoon|https://static-cdn.jtvnw.net/ttv-boxart/The%20Legend%20of%20Dragoon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2850","1621890","566","1076","206","4.336842","15853","333.747368"
"9","Xenoblade Chronicles: Definitive Edition|Xenoblade_Chronicles_Definitive_Edition|https://static-cdn.jtvnw.net/ttv-boxart/./Xenoblade%20Chronicles:%20Definitive%20Edition-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2700","1089570","408","961","-25","-0.555555","12883","286.288888"
"10","Phoenix Wright: Ace Attorney − Dual Destinies|Phoenix_Wright_Ace_Attorney_-_Dual_Destinies|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney%20%E2%88%92%20Dual%20Destinies-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2670","1479360","538","769","1","0.022471","12405","278.764044"
"11","Donkey Kong 64|Donkey_Kong_64|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2580","2077095","832","1765","154","3.581395","20703","481.465116"
"12","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2475","1335825","536","879","-1","-0.024242","14874","360.581818"
"13","Banjo-Kazooie|Banjo-Kazooie|https://static-cdn.jtvnw.net/ttv-boxart/Banjo-Kazooie-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2445","1373010","557","1656","85","2.085889","17541","430.453987"
"14","Sekiro: Shadows Die Twice|Sekiro_Shadows_Die_Twice|https://static-cdn.jtvnw.net/ttv-boxart/./Sekiro:%20Shadows%20Die%20Twice-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2175","1065945","457","1690","72","1.986206","11676","322.096551"
"15","Final Fantasy VII Remake|Final_Fantasy_VII_Remake|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20VII%20Remake-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2025","678060","334","639","-15","-0.444444","10062","298.133333"
"16","The Legend of Zelda: Majora's Mask|The_Legend_of_Zelda_Majoras_Mask|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Majora%27s%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1905","1452270","749","1721","25","0.787401","14136","445.228346"
"17","Kingdom Hearts HD 1.5 + 2.5 Remix|Kingdom_Hearts_HD_1.5_plus_2.5_Remix|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20+%202.5%20Remix-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1875","945660","496","812","68","2.176","9322","298.304"
"18","Bloodborne|Bloodborne|https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1695","909675","503","3770","136","4.814159","10632","376.353982"
"19","Crash Bandicoot 4: It's About Time|Crash_Bandicoot_4_Its_about_Time|https://static-cdn.jtvnw.net/ttv-boxart/./Crash%20Bandicoot%204:%20It%27s%20About%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1560","964965","566","912","79","3.038461","11160","429.230769"
"20","Apollo Justice: Ace Attorney|Apollo_Justice_Ace_Attorney|https://static-cdn.jtvnw.net/ttv-boxart/./Apollo%20Justice:%20Ace%20Attorney-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1530","1001865","581","1233","-14","-0.549019","8189","321.137254"
"21","Mario & Luigi: Bowser's Inside Story|Mario_and_Luigi_Bowsers_Inside_Story|https://static-cdn.jtvnw.net/ttv-boxart/./Mario%20&%20Luigi:%20Bowser%27s%20Inside%20Story-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1530","1033455","666","902","12","0.470588","9150","358.823529"
"22","Super Mario Galaxy|Super_Mario_Galaxy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1515","920565","519","1115","54","2.138613","10182","403.247524"
"23","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1455","1377150","859","2039","73","3.010309","14652","604.206185"
"24","Dark Souls|Dark_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1365","717270","513","719","12","0.527472","6758","297.054945"
"25","Dark Souls III|Dark_Souls_III|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1275","609075","450","668","33","1.552941","6728","316.611764"
"26","Battletoads|Battletoads|https://static-cdn.jtvnw.net/ttv-boxart/Battletoads-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1260","501345","370","604","149","7.095238","6306","300.285714"
"27","Demon's Souls|Demons_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Demon%27s%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1215","476115","385","581","24","1.185185","5011","247.45679"
"28","Pokémon Stadium|Pokemon_Stadium|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Stadium-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1200","1010670","835","1330","36","1.8","10613","530.65"
"29","Pokémon Red/Blue|Pokemon_Red_Blue|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Red/Blue-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1095","740580","693","986","100","5.479452","6786","371.835616"
"30","Super Mario 3D World|Super_Mario_3D_World|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%203D%20World-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1065","1386945","947","3978","43","2.422535","65081","3666.535211"
"31","Dark Souls II: Scholar of the First Sin|Dark_Souls_II_Scholar_of_the_First_Sin|https://static-cdn.jtvnw.net/ttv-boxart/./Dark%20Souls%20II:%20Scholar%20of%20the%20First%20Sin-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1050","566625","555","708","-4","-0.228571","6686","382.057142"
"32","Kingdom Hearts: Melody of Memory|Kingdom_Hearts_Memory_of_Melody|https://static-cdn.jtvnw.net/ttv-boxart/./Kingdom%20Hearts:%20Melody%20of%20Memory-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1020","444930","410","697","5","0.294117","6004","353.17647"
"33","Professor Layton and the Diabolical Box|Professor_Layton_and_the_Diabolical_Box|https://static-cdn.jtvnw.net/ttv-boxart/Professor%20Layton%20and%20the%20Diabolical%20Box-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","960","598680","622","908","-11","-0.6875","5965","372.8125"
"34","Final Fantasy IV|Final_Fantasy_IV|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20IV-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","930","510375","571","851","8","0.516129","7917","510.774193"
"35","Superman|Superman|https://static-cdn.jtvnw.net/ttv-boxart/Superman-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","885","629535","751","1055","-7","-0.474576","5715","387.457627"
"36","Rayman|Rayman|https://static-cdn.jtvnw.net/ttv-boxart/Rayman-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","407295","412","592","0","0","3851","270.245614"
"37","Rayman Legends|Rayman_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Rayman%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","840","441270","419","844","31","2.214285","4782","341.571428"
"38","Super Ghouls 'n Ghosts|Super_Ghouls_N_Ghosts|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Ghouls%20%27n%20Ghosts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","780","510915","670","925","8","0.615384","4446","342"
"39","Lifeline|Lifeline|https://static-cdn.jtvnw.net/ttv-boxart/Lifeline-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","750","406770","557","635","6","0.48","4405","352.4"
"40","Mega Man ZX Advent|Mega_Man_ZX_Advent|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20ZX%20Advent-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","705","248220","357","532","-13","-1.106382","2479","210.978723"
"41","Mega Man Zero 4|Mega_Man_Zero_4|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20Zero%204-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","675","292110","406","504","-2","-0.177777","3017","268.177777"
"42","Pokémon FireRed/LeafGreen|Pokemon_FireRed_LeafGreen|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20FireRed/LeafGreen-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","675","637425","793","2490","30","2.666666","6308","560.711111"
"43","Resident Evil 4|Resident_Evil_4|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%204-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","660","1820040","2399","10251","96","8.727272","288283","26207.545454"
"44","Silent Hill|Silent_Hill|https://static-cdn.jtvnw.net/ttv-boxart/Silent%20Hill-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","660","315690","426","590","-1","-0.090909","3860","350.90909"
